"id","description","timestamp","url","name","n"
28,"",2016-09-22 08:56:02,"http://qua-kit.ethz.ch/mooc/proposals/view/160","anonymous edX student",1
29,"Description of the compulsory exercises as regards criteria(Visibility,Centrality,Connectivity,Accessibility)

I consider the crime prevention through the environmental design because the cape town, South Africa is one of the most dangerous places with high rate of crime occurrences such as burglars and heavy crimes.

Please see the bellow urls:
http://businesstech.co.za/news/general/110133/cape-town-is-now-among-the-10-most-violent-cities-in-the-world/
https://en.wikipedia.org/wiki/Crime_in_South_Africa

All of the criteria can be integrated in terms of the crime prevention through environmental design and the sustainable urban neighbourhood.

Prof.Bill Hiller provided a report on a number of London districts for crime and urban design oriented to sustainability and security heuristically.

London is akin to New York and Los angeles in the crime rate with not good reputation.
http://www.spacesyntax.com/wp-content/uploads/2011/11/Hillier-Sahbaz_An-evidence-based-approach_010408.pdf

As such, I aim to make crime preventive physical layout knowing that social factors have effects on the issue alike.

Exercise description:

For now, I work intuitively on the criteria in theory.

Block lay out:

Blocks for 68 two-storey housing are located along the main roads and in other vehicle accessible roads and pedestrian paths, and south facing for intake of the good sunlight in heating and the predominant wind from the south in natural ventilation.

They are attached in a row reducing free sides, which expects to reduce the exposure of each of dwelling units to burglars' search paths and the dead points at night in which, less public surveillance is likely to be made than that in the day.

Those housing blocks attached should be partitioned by Fire walls.
Furthermore, every unit block has the ground floor space occupied, which gives the sense of the security and human presence.

Visibility, Connectivity, Accessibility,Integrated livelihood programme:

The block layout has the permeability and faces both main vehicular roads or pedestrian roads which are connected in through-movement and accessible in East-West and North-South in relation to the existing crossings.

Every building block can be provided with its own rear-terraces with recognisable boundaries, defined as semi-public space(semi-private space) in relation to the building block as private space and to roads and courtyard as public space.

All open spaces such as large courtyards in the south west, roads and rear-terraces are recognisable for the users and passers-by, which contributes for the public surveillance.

The site area has the preference of modal split for the pedestrians and so vehicle accessible roads such as the central transverse ones and South peripheral ones restrict the speeds and may set movable poles in the entry points next to the main roads in order to limit vehicle access in the ordinary time.
Furthermore, as all pedestrian roads, the vehicle accessible roads are used for delivery and  secure egress routes at the emergency as well as fire engine accessible routes.

Centrality, Ecological Landscape management:

At the community scale, the site area is surrounded by a few schools and community facilities.
With it in mind, the roads are planned with the nearby connections with those built elements in the site.
A block at the eastern corner of the site facing the Njongo Avenue is expected to be used as the community space with the sanitary units.
A courtyard in the south west is used for a playground and any other recreational place for the neighbourhood.
All of the rear-terraces and a courtyard are properly landscaped without impeding the visual integration and the public surveillance. 

",2016-10-02 19:29:15,"http://qua-kit.ethz.ch/mooc/proposals/view/639","mf edX student",4
37,"This proposal is my attempted to apply sustainability and livability concepts, considering to the mobility and access into the city, and the micro local environment and the region environmental.",2016-09-24 01:00:08,"http://qua-kit.ethz.ch/mooc/proposals/view/221","anonymous edX student",1
39,"The Green Khayelitsha Neighbourhood 2.0",2016-09-20 06:30:42,"http://qua-kit.ethz.ch/mooc/proposals/view/50","Irina",4
41,"Great corridors",2016-09-21 12:32:00,"http://qua-kit.ethz.ch/mooc/proposals/view/122","Alejandro Pineda",2
42,"",2016-09-19 13:50:27,"http://qua-kit.ethz.ch/mooc/proposals/view/10","anonymous edX student",2
43,"",2016-09-19 17:34:56,"http://qua-kit.ethz.ch/mooc/proposals/view/21","anonymous edX student",2
44,"Looking for more effective open space, pathways that are not just straight and wide, micro spaces for buildings. Ability for air circulation and access to main roads",2016-09-21 13:06:02,"http://qua-kit.ethz.ch/mooc/proposals/view/124","anonymous edX student",1
45,"The model aims for a more equally distributed formation, permitting a more clear and organized visibility, acessibility, flow, centrality and connectivity between the buildings.",2016-09-26 13:05:48,"http://qua-kit.ethz.ch/mooc/proposals/view/359","beatriz edX student",2
46,"High buildings furthest back from road. Each building easy access to the streets/intersection. View either to the street or to one of the open spaces in the neighborhood",2016-09-19 14:29:18,"http://qua-kit.ethz.ch/mooc/proposals/view/13","anonymous edX student",2
47,"Gran Manzana, Mayor densidad al fondo, menor densidad sobre las vías existentes, sistema vial secundario al interior de dicha manzana.",2016-09-19 14:56:55,"http://qua-kit.ethz.ch/mooc/proposals/view/14","anonymous edX student",1
48,"The proposal creates mini-communities for residents to relate to and feel more connected to a smaller and closer number of people. It also organically interconnects those sub-communities with visual and walk-through corridors increasing the sense of safety, improved vistas and wider open public spaces.
The orientation and proximity of buildings have been considered to maximise building residents outside views and feeling of open space.
Finally, some buildings were located on the perimeter of the community boundaries to help define the community limits from the outside while maximising inclusion of public spaces with those subcommunity's pods.",2016-09-19 16:05:48,"http://qua-kit.ethz.ch/mooc/proposals/view/16","AAlhasan",2
49,"the past and the future. the existing nature versus the new layout. the order versus the chaos. the structured layout versus the charm of the maze. the historic and the new.",2016-09-28 17:42:47,"http://qua-kit.ethz.ch/mooc/proposals/view/505","euporras",2
50,"The organization plan proposed is based on the observation of the immediate surroundings of this composition by observing the topological behavior of housing around between these buildings and public roads. It was proposed to continue crossing spaces observed in continuous habitations to study site, targeting the free movement of its residents, intensifying communication and protection of its residents in order to make the vigilant resident population of space itself (an idea championed by Jane Jacobs on the urban agglomeration). The proposed model considers, for this type of situation, the concept of urban vitality is essential for the healthy functioning of this fragile environment.",2016-09-19 16:11:22,"http://qua-kit.ethz.ch/mooc/proposals/view/17","João Quadros",1
54,"",2016-09-19 16:30:33,"http://qua-kit.ethz.ch/mooc/proposals/view/19","anonymous edX student",1
55,"",2016-10-01 19:21:00,"http://qua-kit.ethz.ch/mooc/proposals/view/610","anonymous edX student",1
57,"",2016-09-19 17:50:49,"http://qua-kit.ethz.ch/mooc/proposals/view/23","anonymous edX student",1
58,"Just getting started. Clearing out a central area to establish a ""Commons"", where people can congregate, socialize, etc.",2016-09-20 00:54:32,"http://qua-kit.ethz.ch/mooc/proposals/view/42","Michelson Morley",9
59,"",2016-09-19 17:46:50,"http://qua-kit.ethz.ch/mooc/proposals/view/22","anonymous edX student",1
60,"A roundish design has been chosen for optimal efficiency as well as elegance. Everyone is at a similar distance from the core of the housing cluster where shops, educational facilities, health and child care facilities are located. In addition, the central area has some space for social interactions. In the vicinity of the three corner points, bigger residence buildings are located as well as cafés, restaurants and hobby areas.",2016-09-19 18:06:34,"http://qua-kit.ethz.ch/mooc/proposals/view/24","anonymous edX student",1
62,"",2016-09-19 19:14:18,"http://qua-kit.ethz.ch/mooc/proposals/view/25","anonymous edX student",1
63,"",2016-09-28 16:05:43,"http://qua-kit.ethz.ch/mooc/proposals/view/503","Roberto edX student",5
65,"",2016-10-02 19:02:26,"http://qua-kit.ethz.ch/mooc/proposals/view/634","Francesco Lupia",1
69,"",2016-09-19 20:02:00,"http://qua-kit.ethz.ch/mooc/proposals/view/26","Panos Ioannidis",1
70,"The urban layout proposed focuses on accesibility and livability, with the concept of superblocks in mind, which allow movement and circulation between buildings.  ",2016-09-19 21:32:22,"http://qua-kit.ethz.ch/mooc/proposals/view/30","mlandgraves",1
73,"The goal of this design is to promote a university feel to the housing development. Universities in and of themselves are ecosystems of urban life and knowledge and campus layouts resemble the typical marketplace layout with the open quad for socializing and the maximization of view space to the inner quad from any building. The buildings here form the perimeter of the complex as well as a means to insulate the community and ensure that it is a protected environment from outer disturbances given the current social stigma toward poorer minorities the world over. In terms of infrastructure, the layout is also easy to serve due to the relatively linear connection of each building to the next while the entry points provide vistas for visibility to visitors and families keeping track of one another. The approximate orientation of each building also removes safety hazards such as hiding spots or inaccessible areas in the event of a fire and opens up all sides of each building as potential exit routes. The layout is also intentionally inhospitable to cars that would otherwise use the surrounding streets for parking or driving so as to minimize potential incidents from frequent pedestrian activity.",2016-09-19 21:00:32,"http://qua-kit.ethz.ch/mooc/proposals/view/27","anonymous edX student",1
74,"The ain idea is to consolidate the edges of the streets and background. In the center create a mesh sets lower volume and scale. Ensure that the center has the dynamism and creation of public space. Some of the pieces are arranged to accompany the existing tissue. In conclusion they consolidated but the edges are drilled at once, and the center disponde smaller sets.",2016-09-29 21:09:33,"http://qua-kit.ethz.ch/mooc/proposals/view/550","Pablo Avalos",1
76,"",2016-09-20 08:33:12,"http://qua-kit.ethz.ch/mooc/proposals/view/54","anonymous edX student",3
78,"",2016-09-23 15:48:06,"http://qua-kit.ethz.ch/mooc/proposals/view/206","Anita Naneva",3
79,"My concept is to build a T-shaped boulevard serving the whole community - with direct access to both adjacent streets - as well as a system of minor semi-public spaces for each group of houses.",2016-09-20 20:08:20,"http://qua-kit.ethz.ch/mooc/proposals/view/78","leonardoharth",1
80,"cluster of blocks with internal safe free movement",2016-09-23 20:18:29,"http://qua-kit.ethz.ch/mooc/proposals/view/212","anonymous edX student",1
83,"The idea is to create accessibility, visibility, connectivity between the buildings and also to create internal public spaces used as green areas or for recreation activities.
",2016-09-26 14:27:11,"http://qua-kit.ethz.ch/mooc/proposals/view/365","KR edX student",4
86,"",2016-09-20 00:14:48,"http://qua-kit.ethz.ch/mooc/proposals/view/41","Stamatina Lialiou",1
89,"In order to make the space more livable, social buildings have been developed and also individual housing. In any case, the unit has a view to at leat one open space, so the direct and natural light hours are increased. Also both types of housing share a central open space in order to integrate the community and they share a service area (distributed as a comb structure, on the left). The main idea is to porfit the natural resources and to work and live as an integrated community.",2016-10-03 17:33:29,"http://qua-kit.ethz.ch/mooc/proposals/view/674","soledadprandi",2
91,"Draft - Daniel Bartel",2016-10-09 14:37:46,"http://qua-kit.ethz.ch/mooc/proposals/view/758","anonymous edX student",1
92,"This project is designed based on the idea of community gardens forming three clusters. The gardens are represented by the white space. High density and commercial buildings are located facing the main road. Single dwellings are located on the inner side of the lot. There is also a green way that connects the main road with the clusters and with the walkway of the neighbourhood next to it (west side).",2016-09-21 00:07:08,"http://qua-kit.ethz.ch/mooc/proposals/view/87","anonymous edX student",3
93,"",2016-09-20 01:19:05,"http://qua-kit.ethz.ch/mooc/proposals/view/43","anonymous edX student",1
94,"Ease of access to urban services: 

 1. All have access to the movement area (which facilitates access to urban services); 
 2. The urban design promotes air circulation: 
 ",2016-09-27 02:16:24,"http://qua-kit.ethz.ch/mooc/proposals/view/385","Andréa Araújo",2
95,"",2016-09-20 04:12:31,"http://qua-kit.ethz.ch/mooc/proposals/view/46","anonymous edX student",1
96,"Model #2. Empower Shack
Visibility: Because Khayelistha is a city dominated by buildings of just one floor, the Empower Shack has zoned the perimeter of the block with low rise buildings that do not radically change the skyline. The tallest buildings are placed in the inner part of the Empower Shack, in interleaved manner to ensure that all have good lighting and natural ventilation.
Centrality: The Power Shack shares a large central space of  public nature, monitored daily by their inhabitants.
Connectivity: A secondary pathway which coordinates the Empower Shack and allows access to public space has been placed. This route must be of  low vehicular movement and should allow good pedestrian relationship between neighbors through wide trails and gardens.
Accessibility: All the buildings of the Empower Shack have a front to the street, either the perimeter or the interior one. It has been design to minimize roads,  to maximize the usable public space.",2016-09-23 18:30:57,"http://qua-kit.ethz.ch/mooc/proposals/view/208","architecturenow",2
98,"Open space in the middle for green areas or private backyards.",2016-09-20 01:55:50,"http://qua-kit.ethz.ch/mooc/proposals/view/45","Bianca Nasser - edX student",1
103,"I did not find the orientation , so I organised the layout with spatial considerations only.
I preserved continuation of the T ending road and of paths to parcels at the immediate surroundings in order to improve connectivity, accessibility and vistas.  These vista are also beneficial with a CPTED  (Crime Prevention Through Environmental Design) point of view. I created 3 access ""streets"".
I put most buildings in row houses so as to gain space for public and semi-public space, creating a ""common ground"" at the center of the neighbourhood, as well as inner sub-communities.

Highest buildings on façade of the road (espacially at the crossroad) for 2 reasons :
- to maximize endogenous economic development potential
- to protect neighborhood inside from road noise

The design allows for front and back usage
",2016-09-21 01:45:52,"http://qua-kit.ethz.ch/mooc/proposals/view/90","anonymous edX student",2
104,"It is important to create clusters inorder to define communities. This arrangement allows for creation of urban green spaces within the settlements. Hierachy is also important so the tallest structures were centered so that they can be viewed from various points. Since this neighbourhood connects to other neighbourhoods, it was important to link it to the rest of the area hence the permeability along the boundaries.",2016-09-20 12:12:40,"http://qua-kit.ethz.ch/mooc/proposals/view/57","anonymous edX student",1
105,"",2016-09-20 05:17:37,"http://qua-kit.ethz.ch/mooc/proposals/view/48","anonymous edX student",2
107,"The organization of the township is in recticular form, following the existent urban mapping. The tall buildings are located at the end of the area, allowing a complete view of the urban area. At the same time low height buildings that are bigger in size are located at the other end of the perimeter providing a protection of the citizens. The smaller low height buildings are located in the middle, allowing the visibility of the social areas.",2016-09-25 04:00:07,"http://qua-kit.ethz.ch/mooc/proposals/view/275","anonymous edX student",5
112,"All the buildings cllected into groups which linked with each other and the surroundings",2016-09-22 06:18:07,"http://qua-kit.ethz.ch/mooc/proposals/view/153","anonymous edX student",2
115,"",2016-09-20 08:52:59,"http://qua-kit.ethz.ch/mooc/proposals/view/55","anonymous edX student",1
116,"REDENSIFICATION OF NEIGHBOURHOOD WITH PROVISIONS FOR PHYSICAL AND SOCAIL INFRASTRUCTURE AND ECONOMIC SUSTAINABILITY
-Each Housing Unit is given a FRONT-YARD(Public, with roads) and  BACK-YARD(Private, with utility areas). 
-Meandering roads are provided to REDUCE vehicle VELOCITY and to create a PEDESTRIAN FRIENDLY neighbourhood.  
-All the internal roads are made to bisect at PUBLIC PLAZA( Left-Central side). 
-Large rectangular space near main Junction( Right corner of property) is left for Public or Retail Buildings which ensure JOBs to locals of neighbourhood thus making the project ECONOMICALLY SUSTAINABLE. 
-Same rectangular space to the right corner of neighbourhood can be sold at a higher price, to RAISE FUNDS for housing development and other ventures.
-Necessary setback is provided from the main roads, to facilitate FUTURE ROAD/TRANSPORT DEVELOPMENTS
",2016-09-30 19:36:59,"http://qua-kit.ethz.ch/mooc/proposals/view/591","anonymous edX student",1
117,"I am providing a cross axis within the plot which will act as a connecting spine within the plot.The houses are clustered around three public spaces which are interconnected by the axis.It is seen to that all the units have ample of cross ventilation by keeping adequate spacing between the units and keeping the front and rear side open either towards the public  court or towards the road.An arm of the axis is kept open to the neighbourhood area to provide better interaction within communities.The tallest structures are placed at the end so as not to hamper the visibility of the rest.Assuming the plot to be barricaded , I am proposing only two entry points to the plot .All the units will be accessed from the internal courts which will result in better interaction between the residents  as well as enhance vigilance and usage of the courts.Vehicular access will be confined to the axis roads hence rendering the courts would safe for senior citizens and children.",2016-09-24 05:59:06,"http://qua-kit.ethz.ch/mooc/proposals/view/230","anonymous edX student",20
118,"",2016-09-21 08:49:21,"http://qua-kit.ethz.ch/mooc/proposals/view/117","anonymous edX student",1
121,"",2016-09-20 10:46:08,"http://qua-kit.ethz.ch/mooc/proposals/view/56","anonymous edX student",1
122,"Draft_",2016-09-22 10:34:18,"http://qua-kit.ethz.ch/mooc/proposals/view/162","KT_draft2016 edX student",1
123,"Two access roads and two areas of common ground.  The taller buildings are placed at the back so as not to block the light or view of the lower houses. The roads provide long views with plenty of visibility.  Houses of a similar type are typically kept together, and are never stacked more than two deep, so do not require extra access.",2016-09-21 14:44:54,"http://qua-kit.ethz.ch/mooc/proposals/view/128","anonymous edX student",1
124,"",2016-09-24 12:45:45,"http://qua-kit.ethz.ch/mooc/proposals/view/246","anonymous edX student",3
125,"The basic idea was to create small squares for micro-level social interactions and also to make a more airy design in order to prevent or quickly kill off fires. ",2016-09-20 12:58:24,"http://qua-kit.ethz.ch/mooc/proposals/view/58","anonymous edX student",1
126,"Semi public passage with openings to semi-private housing clusters",2016-09-26 19:38:51,"http://qua-kit.ethz.ch/mooc/proposals/view/374","Emilia",1
128,"This model is inspired by ""The Venus Project"" from Jacque Fresco. The center includes shops, bars, doctors, restaurants and everything needed for daily needs as well as entertainment.The circular shape of the neighborhood has the advantage that the living spaces have the same distance to the center of the action.",2016-09-20 15:45:32,"http://qua-kit.ethz.ch/mooc/proposals/view/64","Ashad.Ach",2
129,"",2016-09-20 16:55:28,"http://qua-kit.ethz.ch/mooc/proposals/view/65","anonymous edX student",2
130,"The arrangement for the cluster of houses is made keeping in view the grid at most places. The middle spaces in between the land can be used to have roads or streets in combination with green belts to give an idea of a green or sustainable community. In between each lane, space is left to accommodate user traffic or for information architecture provision such as street lights.

Overall the spaces are arranged so that an inclusive community is formed which is neither too crowded nor too isolated.",2016-09-23 08:13:46,"http://qua-kit.ethz.ch/mooc/proposals/view/201","MSohail",7
133,"axes of sight introduce that expand the road network. Buildings facing the road as this is where the action happens. In the middle of the area: square situation with a wider open space. Smaller components for multiple generations (can be divided in parts)",2016-10-01 11:16:14,"http://qua-kit.ethz.ch/mooc/proposals/view/602","staehlli",1
134,"First: create open spaces between buildings which are easy to get and cross, and which provide interactive spaces and green areas . Second: place buildings in harmony position with their volumes and directions . Third: place buildings in a way that close the road face and open to the internal area.",2016-09-22 17:05:59,"http://qua-kit.ethz.ch/mooc/proposals/view/173","anonymous edX student",3
135,"",2016-09-30 09:26:10,"http://qua-kit.ethz.ch/mooc/proposals/view/572","Dhananjay",3
136,"",2016-09-27 14:48:29,"http://qua-kit.ethz.ch/mooc/proposals/view/459","anonymous edX student",1
137,"working on it",2016-09-22 00:33:15,"http://qua-kit.ethz.ch/mooc/proposals/view/141","Julia_ub",3
138,"",2016-09-21 12:59:09,"http://qua-kit.ethz.ch/mooc/proposals/view/123","carmen salgado",3
139,"Based on an estate model, this design models the settlement around 6 individual estates around a concentric meeting area, thus allowing for both local interactions within a settlement (dinner with the neighbors) as well as regional interactions. Such management could also help decentralize facilities such as recycling bins to each estate to manage cost while ensuring mass deployment and maximum accessibility",2016-09-20 18:18:11,"http://qua-kit.ethz.ch/mooc/proposals/view/72","anonymous edX student",1
140,"",2016-10-04 19:19:34,"http://qua-kit.ethz.ch/mooc/proposals/view/703","anonymous edX student",2
141,"- Ambulance / emergency service can reach door to door through shortest path.
- Green / Open space / park / playground
- Support Central monitoring / controlling / Networking / Broadcasting
- Optimistic Networking / Pathways
- Visible
- High Mobility",2016-09-24 23:01:17,"http://qua-kit.ethz.ch/mooc/proposals/view/267","Md. Moniruzzaman",3
142,"The main design aspect for me was to create more coherent spaces between the buildings, for better circulation, more light, more air and more possibilities for interaction through shared spaces, e.g. community gardens and small public spaces. ",2016-09-25 19:57:25,"http://qua-kit.ethz.ch/mooc/proposals/view/301","anonymous edX student",3
144,"The concept is to maximize airflow. ",2016-09-27 20:58:55,"http://qua-kit.ethz.ch/mooc/proposals/view/475","Powell12",1
146,"",2016-09-20 20:58:36,"http://qua-kit.ethz.ch/mooc/proposals/view/81","anonymous edX student",1
147,"",2016-09-23 21:08:16,"http://qua-kit.ethz.ch/mooc/proposals/view/214","anonymous edX student",1
149,"The goal of this plan is to design spaces with a mix of concept of superblocks opened to big squares and some flexibility in the shape giving opportunity to the citizens to crossing the blocks encountering differentes scenes, perspectives and green places. Different ways to run through the blocks (4 acesses) and stimulating living spaces - in other hand, we provides too with this plan quiet areas to the residentes in the center of some closed squares. In the edge of this plan and squares, in face of the streets and acess we can have more shoppings and offices, in the center we can have more residences. The project with this aspects intend to provide a place with intercommunication, interaction and centrality. ",2016-09-21 03:11:04,"http://qua-kit.ethz.ch/mooc/proposals/view/94","anonymous edX student",1
150,"first_",2016-09-21 21:10:58,"http://qua-kit.ethz.ch/mooc/proposals/view/136","aguilarlimbert",1
151,"Shielded towards the street by larger buildings. Central open space for gatherings which opens to the outside on the right hand side.",2016-09-20 22:01:38,"http://qua-kit.ethz.ch/mooc/proposals/view/82","anonymous edX student",1
152,"I think the sense of community is crucial for this problem. To solve it, I have created multiple corridors all leading to the core of the site where people could share resources and socialize. ",2016-09-24 18:12:20,"http://qua-kit.ethz.ch/mooc/proposals/view/261","anonymous edX student",1
153,"Main purpose was to maintain the urban facade, while constructing a pathway, as a continuation of the facing road, that organises smaller structures in the inner part of the intervention area",2016-09-25 21:50:48,"http://qua-kit.ethz.ch/mooc/proposals/view/312","vmalamis",1
155,"",2016-09-20 23:35:49,"http://qua-kit.ethz.ch/mooc/proposals/view/86","anonymous edX student",1
158,"",2016-09-24 23:41:20,"http://qua-kit.ethz.ch/mooc/proposals/view/268","anonymous edX student",1
159,"Formal order and public spaces for comunnity",2016-09-21 05:23:59,"http://qua-kit.ethz.ch/mooc/proposals/view/98","anonymous edX student",3
161,"",2016-09-21 08:42:47,"http://qua-kit.ethz.ch/mooc/proposals/view/116","Kinda edX student",6
162,"take advantage of the space, providing spaces for internal mobility and out of area.",2016-09-22 02:51:46,"http://qua-kit.ethz.ch/mooc/proposals/view/143","anonymous edX student",1
163,"The concept it’s the efficiency of shortcuts, that’s why the aim of the layout is to generate diagonal circulation on the site. This concept gives a good orientation to the built (to be resilient of northwest winter and take benefit of the southeast wind during the summer) and also increases the urban perspective and permeability of views. 
The centrality concentration of the built permit to have two pedestrian circulations and also generate a void (conformed as Public Park) surrounded by blocs in the core of the site. 
Finally it’s important to remark that the blocs with mayor scale are surrounding the site in order to support commercial function of the site. 
",2016-09-22 04:03:05,"http://qua-kit.ethz.ch/mooc/proposals/view/147","Ricardo Ruiz",5
166,"The main idea is to have every building looking into a green/public space which in the end are community/integration spaces. Every space could have a special characteristic according to the people who live in the buidings around each space. The borders should not be occupied by any building: the view should always be clean, extended to the infinite.",2016-09-21 05:56:06,"http://qua-kit.ethz.ch/mooc/proposals/view/99","Alvaro Puertas",3
167," This is my first idea of Design, very intuitive. Main aspects are:

Create public spaces as ""micro squares"" in order to encourage the convivence among core neighboors.
Visual control public space.
Promote accesibility from the main streets.
Amplify the conection between open space.",2016-10-02 01:34:26,"http://qua-kit.ethz.ch/mooc/proposals/view/615","Diego Moya edX student",2
168,"By the moment, I think I just get familiar with the tool",2016-09-21 05:03:42,"http://qua-kit.ethz.ch/mooc/proposals/view/96","Hernando",1
169,"The spine scheme generates these spaces in between the lines for socialization, expansion or possible community farming or just a line of perennial trees to protect from the sun during summer. At the same time having space between constructions lines provide enough room for shadows that the houses project towards the South.  All houses assume the entrance and windows to the good orientation that is North in the South hemisphere. Therefore the entrances are towards Njongo Avenue where a High School is. It was assumed also that Maphongwanas Avenue collect some car traffic that is why the (2) story houses are locate along this Avenue.
In order to increase the connectivity between the houses as well as the interior pedestrian circulation a street  align with the crossing lines on Njongo Avenue, assuming that the High School across the street will provide a big volume of people.
",2016-09-22 04:53:28,"http://qua-kit.ethz.ch/mooc/proposals/view/150","Adrian Menichelli",4
170,"The concept used to arrange the shacks was “clustering”. This was based on the building areas, heights, and massing of the building blocks. Three (3) clusters were developed and grouped together based on the spaces they require. The middle portion is devoted for open space and amenities, which is then intersected by two (2) roads/paths. The longer on is considered as the main spine/access of the clusters. The clusters create open spaces that promote expansion for future development and circulation to natural light and ventilation within the development.  ",2016-09-27 10:07:58,"http://qua-kit.ethz.ch/mooc/proposals/view/442","JasonBSantos",45
175,"",2016-09-21 14:27:42,"http://qua-kit.ethz.ch/mooc/proposals/view/127","Andreas",1
176,"",2016-09-21 13:46:49,"http://qua-kit.ethz.ch/mooc/proposals/view/125","anonymous edX student",1
177,"",2016-09-21 14:18:11,"http://qua-kit.ethz.ch/mooc/proposals/view/126","anonymous edX student",1
179,"The idea of this plan is to build commercial buildings outside towards the main road and the residential buildings behind them. So that there will not be any disturbance to the people behind commercial buildings. Easily accessible and wide roads. the central portion can be utilized for plantation of trees. Can provide best drainage system with this simple network of roads. ",2016-09-25 03:52:48,"http://qua-kit.ethz.ch/mooc/proposals/view/274","Sumanth Akhil",3
181,"",2016-09-29 22:27:45,"http://qua-kit.ethz.ch/mooc/proposals/view/551","Minenhle Nox",3
182,"A place organized with the view and the sun (hypothetized at the bottom of the blue net).",2016-09-21 16:22:22,"http://qua-kit.ethz.ch/mooc/proposals/view/130","anonymous edX student",2
186,"",2016-09-27 22:31:57,"http://qua-kit.ethz.ch/mooc/proposals/view/480","anonymous edX student",2
187,"I'm still trying to understand the logic of the tools availlable on Qua-kit
",2016-09-21 17:54:21,"http://qua-kit.ethz.ch/mooc/proposals/view/131","anonymous edX student",1
189,"",2016-09-29 14:32:45,"http://qua-kit.ethz.ch/mooc/proposals/view/533","anonymous edX student",4
190,"",2016-09-27 20:23:50,"http://qua-kit.ethz.ch/mooc/proposals/view/473","anonymous edX student",1
191,"",2016-09-21 21:58:50,"http://qua-kit.ethz.ch/mooc/proposals/view/138","mb5",1
193,"Clusters based on size of blocks and height",2016-09-22 14:19:01,"http://qua-kit.ethz.ch/mooc/proposals/view/163","anonymous edX student",1
194,"Very new to this but finding it fascinating. I have approached this with simplicity. I am obviously trapped in a realm of Pythagorean Idealism. The smaller dwellings form an inner-ring of shared space with the larger dwellings on the perimeter. My intention is to create an area of shared space whilst giving each dwelling as much of its own space as possible. Not an easy trade-off. 

I have been living in a post-Soviet district of Berlin for the last few years so the sense of order and symmetry is clearly influential. I wanted to prioritise the idea of macro-space for the whole community rather than subdividing the space too much. Clearly I have only partially succeeded in that. I am sure there are many more considerations which I hope to learn throughout the X-Series. 

The video on the project itself was very interesting and would love to learn more about its progress. ",2016-09-25 21:51:10,"http://qua-kit.ethz.ch/mooc/proposals/view/313","Paul Hancock",1
195,"-the houses next to the big streets could be used for small businesses  and protect the inner part from noises; they give the people a livelihood
- the inner houses should be for living; the big place in between the houses should be a social place
",2016-09-21 23:05:28,"http://qua-kit.ethz.ch/mooc/proposals/view/140","anonymous edX student",1
201,"",2016-09-23 01:27:13,"http://qua-kit.ethz.ch/mooc/proposals/view/188","anonymous edX student",2
202,"",2016-09-23 05:12:45,"http://qua-kit.ethz.ch/mooc/proposals/view/192","anonymous edX student",1
203,"creating space",2016-09-30 07:57:00,"http://qua-kit.ethz.ch/mooc/proposals/view/570","anonymous edX student",4
